Code,Department,Title,Units,Description,Prerequisites,Level,URL
SIOB 275A,SIOB,Benthic Ecology,4,"Evolution and maintenance of benthic communities from the terrestrial margins to the deep sea. Special emphasis will be placed on physical and biological scaling and processes determining patterns of distribution and abundance; interrelationships between community structure and population phenomena, including trophic relationships, reproductive and recruitment patterns, succession, and life history biology. Offered in alternate years with SIOB 275B.",graduate standing or consent of instructor. (S/U grades permitted.),Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOB+275A
SIOB 276,SIOB,Quantitative Theory of Populations and Communities,4,An introduction to the quantitative tools and conceptual issues underlying the study of the dynamics and structure of ecological systems. Recommended preparation: three quarters of calculus.,graduate standing or consent of instructor. (S/U grades permitted.),Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOB+276
SIOB 276L,SIOB,Quantitative Ecology Project Lab,4,"A laboratory complement to SIOB 276, to apply quantitative tools to conceptual issues underlying the study of the dynamics and structure of ecological systems.","graduate standing, SIOB 276 or SIO 276 and consent of instructor.",Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOB+276L
SIOB 277,SIOB,Deep-Sea Biology,4,"The ecology, zoogeography, taxonomy, and evolution of deep-sea organisms, with emphasis on the benthos. Course includes one day cruise to the San Diego Trough to examine deep sea organisms (700–1200 meters) (two-hour steam from Point Loma). Offered alternate years.",graduate standing or consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOB+277
SIOB 278,SIOB,Seminar in Ocean Biosciences,2,"Presentations of reports, review of literature, and discussion of current research in the marine biological and oceanographic sciences. (S/U grades permitted.)",none,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOB+278
SIOB 279,SIOB,Ecology Seminar in Biological Oceanography,1,"Weekly seminar for students in the biological oceanography curricular group. Lectures given by visiting scientists, resident staff, and students. May be taken for credit eighteen times.",graduate standing. (S/U grades only),Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOB+279
SIOB 280,SIOB,Biological Oceanography,4,"The biology and ecology of marine plankton, nekton, and benthos. Emphasis will be on processes regulating species, community, and ecosystem patterns and changes, including productivity, trophic relationships and species interactions with the physical, chemical, and geological environment. One or more field trips.",graduate standing or consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOB+280
SIOB 281,SIOB,Marine Physiology,4,"Biochemical and physiological mechanisms of adaptation of organisms to the marine environment. Special emphasis is on biological responses to temperature, salinity, carbon dioxide, pH and bicarbonate levels.",graduate standing or consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOB+281
SIOB 282,SIOB,Phytoplankton Diversity,4,"Molecular, biochemical, ecological, and evolutionary perspectives on the diversity of eukaryotic and prokaryotic phytoplankton.",graduate standing or consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOB+282
SIOB 283,SIOB,Phycology: Marine Plant Biology,6,"Lecture and laboratory course emphasizing the biology, ecology and taxonomy of marine plants and seaweeds. Laboratory work mainly involves examination, slide preparation and dissection of fresh material collected locally. An oral presentation on a current research topic is required. Program or course fee may apply. Graduate students, additionally, are required to write a research paper. Offered in alternate years. May be coscheduled with SIO 183. Renumbered from SIO 283. Students may not receive credit for SIO 283 and SIOB 283. Program or materials fees may apply.",graduate standing or consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOB+283
SIOB 284,SIOB,Marine Invertebrates,6,"Course emphasizing the diversity, evolution and function morphology of marine invertebrates. Laboratory work involves examination of live and prepared specimens. An oral presentation on a current research topic is required. Graduate level additionally requires a research paper with extensive literature review and critical analyses. Program or course fee may apply.",graduate standing or consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOB+284
SIOB 285,SIOB,Physical-Biological Interactions,4,Physical and biological processes affecting growth and patchiness of plankton. Concepts and equations from physical oceanography will be presented and explored in a biological context. Ideas will be treated both theoretically and with examples from the literature.,SIOC 210 or SIO 210 or consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOB+285
SIOB 286,SIOB,"Marine Science, Economics, and Policy",4,"This course investigates global issues in marine conservation and potential policy solutions. The approach is interdisciplinary, fast-paced, and discussion oriented. Students will become acquainted with sufficient background in marine biology, ecology, marine and conservation economics, international law, and policy as preparation for participation in discussion on real-world issues in marine conservation. Topics and instructors change each quarter.",graduate standing or consent of instructor. (S/U grades permitted.),Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOB+286
SIOB 287A,SIOB,Marine Microbial Ecology,4,"Recent developments in the study of marine bacteria. Emphasis will be on biochemical and physiological adaptations of marine bacteria to the ocean environment. Bacterial metabolism, growth, and death will also be discussed in the context of trophic interactions and flows of material and energy in marine ecosystems. Molecular biology techniques used in the study of bacterial ecology will also be discussed.",graduate standing or consent of instructor. (S/U grades permitted.),Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOB+287A
SIOB 288,SIOB,Communicating Environmental Science,4,"Students will gain essential skills communicating their research with scientific and general audiences using evidence-based strategies. The course includes a combination of traditional lectures and engaged learning activities involving the analysis of published communication products, original writing assignments, student presentations, group activities, and discussion. This class will culminate in a final project. (S/U grades permitted.)",none,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOB+288
SIOB 289,SIOB,"Pollution, Environment, and Health",4,The goal is to understand the scope of the pollution problem facing the planet. Students will learn the properties of chemicals in the environment and survey the biological mechanisms that determine their accumulation and toxicity. Graduate students will also be required to write a research paper.,graduate standing or consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOB+289
SIOB 290,SIOB,Marine Biology,4,"An introduction to the field of marine biology, especially to the diversity of marine organisms at all taxonomic levels and their adaptations to the marine environment.",graduate standing or consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOB+290
SIOB 291,SIOB,Biology Graduate Research Presentations,1,Graduate students in the biological sciences present research in a seminar or poster format. Class participants provide oral and written feedback on presentations. Required of second through fourth year students in the marine biology curricular group. Open to all SIO graduate students. (S/U grades only.),none,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOB+291
SIOB 292,SIOB,Communicating Science to Informal Audiences,4,"Graduate science students will develop fundamental communication and instructional skills through the understanding and application of learning theory, interpretive techniques, and pedagogical practices, including the development of an education/outreach plan to support a competitive research proposal. May be coscheduled with SIO 180. Renumbered from SIO 292. Students may not receive credit for SIO 292 and SIOB 292.",graduate standing or consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOB+292
SIOB 293,SIOB,Applications of Phylogenetics,6,"Overview of the computer-based methods for constructing phylogenetic trees using morphological and molecular data. Lectures and labs cover evolutionary and ecological transformations, biodiversity measurements, biogeography, systematics and taxonomy. An independent project and presentation are required.",graduate standing or consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOB+293
